City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
1244926,Hambantota,LK,6.1241,81.1185,80.94,94,20,4.61
1852357,Shimoda,JP,34.6667,138.95,53.1,84,62,14.94
3369157,Cape Town,ZA,-33.9258,18.4232,65.48,77,0,11.5
3374083,Bathsheba,BB,13.2167,-59.5167,79.05,88,40,18.41
2112309,Katsuura,JP,35.1333,140.3,52.68,93,100,4.41
4470244,Havelock,US,34.8791,-76.9013,48.6,75,100,13.8
3833367,Ushuaia,AR,-54.8,-68.3,53.26,76,20,6.91
2449893,Tessalit,ML,20.1986,1.0114,60.69,32,93,9.31
147425,Neftçala,AZ,39.3742,49.2472,42.64,72,100,9.13
935215,Saint-Philippe,RE,-21.3585,55.7679,80.19,72,76,9.37
4032420,Neiafu,TO,-18.65,-173.9833,84.88,74,20,13.8
2162662,Inverell,AU,-29.7833,151.1167,83.1,46,100,5.99
1254046,Tura,IN,25.5198,90.2201,71.58,54,4,2.06
5106841,Albany,US,42.6001,-73.9662,21.72,86,100,1.54
3831208,Qaanaaq,GL,77.484,-69.3632,-22.4,74,5,6.4
610864,Khani,GE,41.9563,42.9566,24.37,69,61,4.7
230893,Kitgum,UG,3.2783,32.8867,73.47,42,65,1.77
6201424,Mataura,NZ,-46.1927,168.8643,69.87,52,63,4.45
2094027,Kieta,PG,-6.2167,155.6333,84.56,72,100,4.74
3652764,Puerto Ayora,EC,-0.7393,-90.3518,71.55,97,4,6.6
2132606,Samarai,PG,-10.6167,150.6667,85.14,71,96,12.68
3544091,Pinar del Río,CU,22.4175,-83.6981,70.27,87,23,1.21
1060007,Marolambo,MG,-20.05,48.1167,73.8,88,53,1.03
580716,Arzgir,RU,45.3728,44.2206,27.59,86,46,2.95
4030556,Rikitea,PF,-23.1203,-134.9692,76.51,84,100,16.6
359792,Aswān,EG,24.0934,32.907,58.3,58,0,4.61
2136150,Luganville,VU,-15.5333,167.1667,86.88,67,30,8.34
3491161,Bull Savanna,JM,17.8868,-77.5902,72.19,85,3,6.53
3372707,Ribeira Grande,PT,38.5167,-28.7,63.77,92,100,30.0
5848280,Kapaa,US,22.0752,-159.319,72.99,87,20,4.27
2075265,Busselton,AU,-33.65,115.3333,85.24,32,0,0.49
3471451,Arraial do Cabo,BR,-22.9661,-42.0278,72.21,86,93,11.81
3386213,Touros,BR,-5.1989,-35.4608,78.12,80,97,8.63
3424901,Aasiaat,GL,68.7098,-52.8699,0.01,82,55,4.34
3874787,Punta Arenas,CL,-53.15,-70.9167,55.51,82,40,9.22
2347758,Bara,NG,10.3744,10.7288,59.58,42,4,7.27
2729907,Longyearbyen,SJ,78.2186,15.6401,13.55,93,74,7.38
5924351,Clyde River,CA,70.4692,-68.5914,-12.77,84,100,6.91
1282256,Hithadhoo,MV,-0.6,73.0833,81.97,68,81,15.48
2012349,Krasnyy Chikoy,RU,50.3643,108.7512,2.12,84,76,1.77
2155415,New Norfolk,AU,-42.7826,147.0587,70.18,43,100,1.99
2175819,Biloela,AU,-24.4167,150.5,87.08,31,47,5.66
361055,Ismailia,EG,30.6043,32.2723,59.59,69,91,6.26
5847411,Kahului,US,20.8947,-156.47,75.51,83,1,1.01
2120047,Ust'-Omchug,RU,61.15,149.6333,-3.14,94,56,5.97
4020109,Atuona,PF,-9.8,-139.0333,78.93,80,55,16.67
5880054,Barrow,US,71.2906,-156.7887,-0.31,89,95,14.83
2071860,Esperance,AU,-33.8667,121.9,71.08,54,0,15.84
1160939,Iranshahr,IR,27.2025,60.6848,44.94,31,0,4.61
964432,Port Alfred,ZA,-33.5906,26.891,64.18,85,3,3.0
4115181,Hope,US,33.6671,-93.5916,42.39,93,61,4.07
5594956,Hailey,US,43.5196,-114.3153,0.86,71,2,10.11
